Feature	Gain	Cover	Frequency
ctrx_quarter	0.0748771311758399	0.00446056321044892	0.00165468986384266
ctrx_quarter_normalizado	0.0636202570632594	0.00380974691984394	0.00147346192637418
vm_status05_delta2	0.0477361321788098	0.00280541986196107	0.000575201714573878
cdescubierto_preacordado	0.0249577801156956	0.00444084446256402	0.00335665658093797
Visa_delinquency	0.0195799635411568	0.00374415801836028	0.00248597453353505
ctarjeta_visa_transacciones	0.0189018034985321	0.00516740876113376	0.00146952218860313
vm_status06_tend12	0.0153881244939306	0.00255920708273364	0.000468828794755421
ctrx_quarter_lag2	0.013597248529376	0.00312585884428137	0.0044322049924357
cpayroll_trx_lag1	0.010264358846778	0.00196420989229879	0.000319118759455371
Visa_Finiciomora_tend12	0.0101185663067129	0.00728540886510855	0.00231656580937973
cdescubierto_preacordado_lag1	0.0101070579130107	0.0032820594998262	0.00250173348461926
vmr_msaldototal	0.0079811878020623	0.0019372351829173	0.00270266011094302
vmr_mpagospesos	0.00785246642523341	0.00246855162714764	0.00259628719112456
ctrx_quarter_lag1	0.0077572605544568	0.00145779056836293	0.00149316061522945
cpayroll_trx_lag2	0.00761682697330971	0.00303186903466984	0.000563382501260716
cdescubierto_preacordado_tend12	0.00745226320861919	0.00601303004329716	0.00114252395360565
ccomisiones_mantenimiento_tend12	0.00732259897643993	0.00677812985056171	0.00274599722642461
ctrx_quarter_delta2	0.0069702775069852	0.00550080494595878	0.0062720625315179
ctrx_quarter_delta1	0.00683375291977486	0.00329190926563198	0.00204866364094806
ctrx_quarter_normalizado_lag1	0.006815684302323	0.00175446561196083	0.00154437720625315
vm_status01	0.0065814464040962	0.00256725140734064	0.00117798159354513
ctrx_quarter_normalizado_lag2	0.0065812578641129	0.00279169636406628	0.00437704866364095
thomebanking	0.00601194849281996	0.00322999668518851	0.0114922150781644
cproductos_delta2	0.00594634952834403	0.00236944566039426	0.000437310892586989
thomebanking_lag2	0.0058634750561082	0.00370524485823786	0.0131075075642965
cpayroll_trx_lag3	0.00581974398807006	0.0033958354589179	0.000807646243066062
Visa_cconsumos_tend12	0.0055402536596903	0.00473081443183015	0.0104915216843167
ctransferencias_recibidas_tend12	0.00552631600378942	0.00655612511259723	0.0114488779626828
active_quarter	0.00528076023518618	0.00137605208348242	0.00155619641956631
cmobile_app_trx_tend12	0.00473418913448559	0.00797177567462957	0.0103969679778114
ctrx_quarter_normalizado_delta3	0.00469958224527958	0.00367694465991237	0.00635479702471003
ctarjeta_debito_transacciones	0.0044347894419824	0.0027051892886393	0.000720972012102874
ctrx_quarter_delta3	0.00441258266232545	0.00287697847438769	0.00637843545133636
cliente_edad_lag3	0.00440941838873107	0.0047493600365595	0.00769036812909733
cmobile_app_trx_delta2	0.00437434007479148	0.00433836742423919	0.00988480206757438
cprestamos_personales_tend12	0.00437229627644579	0.00361190883583544	0.00108736762481089
ctrx_quarter_normalizado_delta1	0.00434701330604754	0.00316862637558085	0.00207230206757438
ctarjeta_debito_transacciones_lag1	0.00425308244753794	0.0020158911089409	0.0007958270297529
Master_status	0.00400891501867458	0.00228519397623925	0.0011464636913767
Master_fechaalta	0.00388998039181289	0.00321671687658108	0.00780462052445789
cpayroll_trx_tend12	0.00388388815700308	0.00557389955850436	0.00172166540595058
Master_Fvencimiento_lag3	0.00381510257775782	0.00332264085976303	0.00870288073625819
foto_mes	0.00380946807152663	0.00231089406814441	0.00251749243570348
Master_Fvencimiento	0.00380291124410057	0.00409119843911827	0.00842315935451337
Master_fechaalta_lag3	0.00377645208185749	0.00347322866915705	0.00834830433686334
chomebanking_transacciones_lag3	0.00373900587210963	0.00373431000888056	0.00892744578920827
Master_Fvencimiento_lag2	0.00369408739594098	0.00337295982858989	0.00807252269288956
internet_tend12	0.00366370369110889	0.00476770779632418	0.00403429147755925
Master_fechaalta_lag2	0.00361357429070919	0.00296219624118744	0.00755247730711044
chomebanking_transacciones_lag2	0.00360419063600968	0.00390168536128337	0.00853347201210288
vmr_mpagominimo	0.00357501350919699	0.00292793459698278	0.00435734997478568
Master_fechaalta_lag1	0.0035594092237337	0.0034093726002867	0.00767460917801311
Master_Fvencimiento_lag1	0.00355473728552722	0.00317076374174178	0.00798584846192637
Visa_Fvencimiento_tend12	0.00353707097338717	0.00287756587247185	0.00366001638930913
Master_fultimo_cierre_tend12	0.00352860523888915	0.00294576050061922	0.00719396116994453
ctrx_quarter_normalizado_tend12	0.00351846219555073	0.00435357970807599	0.00440462682803833
Visa_Fvencimiento	0.00343598135037351	0.00452457716270047	0.00715850353000504
ccomisiones_otras_tend12	0.00343512057357108	0.00434936057897085	0.00617356908724155
vm_Fvencimiento	0.00342495131984731	0.00410223271254232	0.0061696293494705
Visa_Fvencimiento_lag3	0.00341849038119532	0.00296015824175603	0.00699303454362078
cprestamos_personales_delta3	0.00336885818258369	0.00437480052799295	0.000622478567826525
cliente_antiguedad_lag3	0.00332700228059117	0.00346846412849184	0.00616568961169945
Visa_fultimo_cierre_lag1	0.00332049393641637	0.00110631189099584	0.00191865229450328
vm_Fvencimiento_lag3	0.00317783489930617	0.0032538399065354	0.00678816817952597
chomebanking_transacciones_lag1	0.00317260731945705	0.00369959031484019	0.00638237518910741
Master_cconsumos_tend12	0.0031534088992425	0.00489613829208491	0.0071112266767524
chomebanking_transacciones_delta3	0.00314969994614367	0.00400419213317521	0.0082064737771054
Master_Finiciomora_tend12	0.00312897066481869	0.00481410563292115	0.000847043620776601
Visa_Fvencimiento_lag1	0.00312152193070141	0.00301079717186519	0.00588990796772567
cmobile_app_trx_lag1	0.00310646581414582	0.00419869619376073	0.00714274457892083
ctrx_quarter_tend12	0.00310222783873381	0.00367779775913498	0.00416036308623298
vmr_Master_mlimitecompra_tend12	0.00306025647728639	0.00453437872252165	0.00591748613212305
vmr_mpagominimo_delta2	0.00303780491406975	0.00232477272194936	0.00299420070600101
vmr_msaldototal_delta3	0.00302106302100702	0.00197519562913568	0.00376638930912758
chomebanking_transacciones_delta2	0.00296234732119237	0.0043049820627611	0.00738700832072617
Visa_Fvencimiento_lag2	0.00294129203227545	0.00262881640052607	0.00629964069591528
cprestamos_personales	0.00293152187776831	0.00386469170024015	0.000374275088250126
ctrx_quarter_normalizado_lag3	0.00290965939694588	0.00285227417803163	0.00524379097327282
Visa_cconsumos_lag3	0.002905595278888	0.00291538992447489	0.00634297781139687
Visa_fechaalta	0.00289144476214544	0.002639187299267	0.00525561018658598
chomebanking_transacciones	0.00283656670706003	0.00433101153812128	0.00592930534543621
Master_Finiciomora_lag1	0.00281779433789884	0.0032627829948425	0.000520045385779123
vm_status04	0.00279470012492636	0.00037307652883187	0.000583081190115986
cliente_edad_lag2	0.00277056466255113	0.0036672024225866	0.00439280761472516
ccomisiones_mantenimiento_delta3	0.00275042650253088	0.00485863391208692	0.000953416540595058
Visa_fultimo_cierre_tend12	0.00274984334216884	0.00224691046933965	0.00493255168935956
vmr_mpagominimo_tend12	0.00274557814949333	0.00369136409684164	0.00410520675743823
cmobile_app_trx	0.00273440803291279	0.00346786540727029	0.00605143721633888
cpayroll_trx	0.00273381952428336	0.00374477822874771	0.000287600857286939
cproductos_tend12	0.00269600036009319	0.00403987894299329	0.00186349596570852
vm_Fvencimiento_lag2	0.00268718671153364	0.00270682058494385	0.00548017523953606
chomebanking_transacciones_delta1	0.0026570137728976	0.00383822492035439	0.00557866868381241
Visa_fechaalta_lag2	0.00265444775488895	0.00241950039513149	0.00505468356026223
vmr_Master_mlimitecompra	0.00264857472844864	0.00377204138885576	0.00545259707513868
ctarjeta_visa_debitos_automaticos_tend12	0.0026362192638144	0.00449201119964735	0.00227716843166919
Master_Fvencimiento_tend12	0.00262340745771942	0.00255317842122314	0.00582293242561775
Visa_fechaalta_lag3	0.00261759685772357	0.00262114569812808	0.00561806606152295
Visa_cconsumos	0.00260025148313603	0.00210099287557024	0.00545259707513868
Visa_fechaalta_lag1	0.00259965604239982	0.00224126235202908	0.00473556480080686
Master_cadelantosefectivo_tend12	0.00259284621073592	0.00185986255268702	0.00784401790216843
vmr_msaldopesos2_lag3	0.00257604194291111	0.00250613601296319	0.00524379097327282
vm_Fvencimiento_lag1	0.00256239695997434	0.00218708297852858	0.00505468356026223
vmr_Master_mlimitecompra_lag1	0.00254926358563732	0.00278490913500036	0.00531864599092284
vmr_Master_mlimitecompra_lag3	0.00253831484102576	0.0026079201909898	0.00534622415532022
ccomisiones_otras_delta3	0.00253794139642451	0.00368820601596428	0.00679998739283913
vmr_mpagospesos_delta3	0.00252998053908025	0.00401983796093356	0.00444402420574887
ctarjeta_visa_transacciones_delta2	0.00252420759058993	0.00276225040060907	0.00175712304589007
vmr_msaldopesos2_tend12	0.00251781947155923	0.00346415176946705	0.00457403555219365
vm_fechaalta_lag1	0.00249810010124988	0.00253920500846174	0.00471192637418054
ctrx_quarter_lag3	0.00249528117115188	0.00272806797704092	0.0052280320221886
vmr_mpagominimo_lag3	0.00248933363897262	0.00267137687131475	0.00509014120020172
ctarjeta_visa_transacciones_delta3	0.00246982065017649	0.00311517577408078	0.00258052824004034
vm_fechaalta_lag3	0.00245129087658336	0.00221612329265456	0.0050231656580938
vm_fultimo_cierre_tend12	0.00242662177791765	0.00195154789721028	0.00424309757942511
Visa_cconsumos_lag2	0.00242618665250289	0.00217849658971236	0.00534622415532022
vmr_msaldopesos	0.00242509409624509	0.00191306586347825	0.00260416666666667
ccomisiones_otras_lag2	0.002406624292756	0.00395360219423172	0.00481829929399899
ccomisiones_otras_delta2	0.00240565304741135	0.002134626994806	0.00591748613212305
vm_fechaalta_lag2	0.00238753729379868	0.00193218016658491	0.00437310892586989
numero_de_cliente	0.00238596850322597	0.00450144988184246	0.00436522945032779
cliente_edad_lag1	0.00235799058958533	0.00395640442278725	0.00369547402924861
vm_fechaalta	0.0023566706055276	0.00295228186324541	0.00465677004538578
cproductos_delta1	0.00232612843590639	0.00231006814031903	0.000366395612708018
vmr_msaldopesos2_delta3	0.00231658305531811	0.00301767610181396	0.00487345562279375
ctarjeta_visa_transacciones_tend12	0.00229917525240416	0.00429256306054827	0.00275781643973777
vmr_mpagospesos_tend12	0.00228349852069598	0.00528479169738038	0.00336453605648008
ccuenta_debitos_automaticos_tend12	0.00226960442420486	0.00364272324590575	0.00131193267776097
vmr_mpagominimo_lag1	0.00226816586642001	0.00187477619910612	0.00359698058497226
vmr_mpagominimo_delta3	0.00224777872318089	0.0023000902040364	0.00417218229954614
vmr_mpagospesos_lag1	0.00218279764975694	0.00186046267896942	0.00204866364094806
ccomisiones_otras_delta1	0.0021792763773047	0.00402298711554202	0.00480648008068583
cprestamos_personales_delta2	0.00217545726284071	0.00230920948284102	0.000326998234997479
vmr_mpagominimo_lag2	0.00217454585928443	0.00196886948731641	0.00357728189611699
ccomisiones_otras_lag3	0.00217366972892342	0.00244871592861	0.00490497352496218
Visa_delinquency_tend12	0.0021498806508186	0.00390595288233705	0.00185167675239536
cproductos_lag3	0.00213403950267842	0.00188326766366461	0.00181227937468482
cliente_antiguedad_lag2	0.00213235552722263	0.00285363714903996	0.0037821482602118
vmr_mconsumospesos_lag3	0.00212689069402924	0.00260136186286577	0.00445978315683308
Visa_cconsumos_lag1	0.00212528308335112	0.00248351480196155	0.00455827660110943
vmr_Visa_mlimitecompra_lag3	0.0020908886032709	0.00230435693990902	0.0045779752899647
cprestamos_personales_delta1	0.00205697726977063	0.00316915775719511	0.000326998234997479
ccomisiones_otras_lag1	0.00204307032360468	0.00266733577168382	0.00328968103883006
Visa_cconsumos_delta2	0.00203174101210366	0.00182116101952316	0.00401853252647504
Master_fechaalta_tend12	0.0020315897585442	0.00177103718885257	0.00451887922339889
vmr_mpagospesos_lag3	0.0020113208922567	0.00288874133384823	0.00422339889056984
cprestamos_personales_lag3	0.00200412648340132	0.00298838928216019	0.000917958900655572
vm_Fvencimiento_tend12	0.00199230029022297	0.00234239763989688	0.00386488275340393
vmr_Visa_mlimitecompra	0.00199130703165776	0.00174405915278291	0.00399489409984871
ctransferencias_recibidas_lag3	0.00193161728288805	0.00152529299741719	0.00419582072617247
tcallcenter	0.00193006731082336	0.00260772168482002	0.00218655446293495
ccajas_transacciones	0.00193002510571492	0.00259041571568447	0.00345515002521432
chomebanking_transacciones_tend12	0.0019177573308104	0.00449582914255572	0.00332513867876954
Visa_cconsumos_delta3	0.00188989417681898	0.00193995967854781	0.00434159102370146
vmr_msaldototal_lag3	0.00188961116291786	0.00174858838708177	0.00383730458900656
vmr_msaldototal_tend12	0.00188330433613184	0.00262553322790812	0.00333301815431165
ctarjeta_visa_transacciones_lag1	0.00186409720885928	0.00340318710919062	0.00112676500252143
cliente_edad	0.00186167775689983	0.00238696588064612	0.00300208018154312
vmr_Visa_mlimitecompra_lag1	0.00185912769703003	0.00174237710898664	0.00361667927382753
vmr_mpagominimo_delta1	0.00183579039253938	0.00224135394959863	0.0024899142713061
internet	0.00183452278056368	0.00160640623022136	0.000185167675239536
cpayroll_trx_delta3	0.00182623319851341	0.00326811305183545	0.000720972012102874
vmr_msaldopesos_tend12	0.00179494144102577	0.00232643792567814	0.00317936838124054
ccomisiones_otras	0.00178554314763604	0.00248415943561251	0.00299420070600101
ctarjeta_visa_transacciones_lag3	0.00178485760205681	0.00271539486544161	0.00379396747352496
active_quarter_lag1	0.00178302051025679	0.000974856609174157	0.00127647503782148
vmr_msaldopesos_delta3	0.00177920600039194	0.00176224925645563	0.00355364346949067
vmr_Visa_mlimitecompra_tend12	0.00177075708156302	0.00387575074819293	0.00328968103883006
vm_status02_delta2	0.0017537458619923	0.00114060297949028	0.000811585980837116
vmr_msaldototal_delta2	0.00174141097428404	0.0016015833588684	0.00248597453353505
Master_fultimo_cierre_lag2	0.00172742230965018	0.00242071833493282	0.00354970373171962
vmr_msaldopesos_lag3	0.00172660728330312	0.00173025124792407	0.00372699193141705
cliente_antiguedad_lag1	0.00171953952520413	0.0028102867241161	0.0030808749369642
vmr_Visa_mlimitecompra_lag2	0.00171255631230899	0.00175236021093415	0.00343545133635905
ccaja_ahorro	0.00171147265381411	0.00527053103232667	0.000413672465960666
vm_fechaalta_tend12	0.00169703525166807	0.0030008771116918	0.00263962430660615
Master_fultimo_cierre_lag1	0.00169378751225472	0.00257499438772156	0.00358910110943016
