Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.0556696640767023	0.00501946038342659	0.00180168839445174
vm_status01	0.0534033103254537	0.00347516322295841	0.00139650519657286
ctrx_quarter	0.0369944267425426	0.00422794107957549	0.00154205644241285
ctrx_quarter_normalizado_lag1	0.0355436243375204	0.00211688371258939	0.00149485063295123
ctarjeta_visa_transacciones	0.022039261662553	0.00486277533160039	0.0013217626649253
Visa_delinquency	0.0204805813021745	0.00398441310622602	0.00258451806802357
cdescubierto_preacordado	0.0199138570976796	0.00435005762940897	0.00332014193213378
ctrx_quarter_lag2	0.0164284105482896	0.00282051940424587	0.00434686828792397
vm_status04_delta2	0.0153065564801372	0.000924412615083919	0.000298970126590246
cdescubierto_preacordado_tend12	0.0149760327146708	0.00585746560602273	0.00114474087944423
ctrx_quarter_normalizado_lag2	0.0140397905756311	0.00285636158298974	0.00421311849444938
ctrx_quarter_delta2	0.0122164018236801	0.0053326791705341	0.00535392555643848
vm_status05_delta2	0.0120990822503599	0.00156010473176544	0.00040911701533402
Visa_Finiciomora_tend12	0.0120624454887082	0.0069660624256914	0.00219900395742036
ctarjeta_debito_transacciones	0.010888695391005	0.00356646503763894	0.000751359133930749
active_quarter	0.00969451018028526	0.00159901503797644	0.00167974005334256
cpayroll_trx_lag2	0.0090684192852617	0.00374804154610033	0.000645146062642109
vmr_mpagospesos	0.0090561154208444	0.0030040103377682	0.0025648489807479
cdescubierto_preacordado_lag1	0.00804995978609315	0.00356937572230063	0.00260025333784411
ccomisiones_mantenimiento_tend12	0.00687214372206327	0.00688168109002263	0.00266319441712627
thomebanking_lag2	0.00580570773497133	0.00387253447867648	0.0134143175220097
ctransferencias_recibidas_tend12	0.00559767439633107	0.00663316807600514	0.011408070619891
ctrx_quarter_normalizado_delta3	0.00553303534112889	0.00322910104770353	0.00655767369770973
Visa_cconsumos_tend12	0.00548570481624913	0.004947174711511	0.0102082562960748
