Feature	Gain	Cover	Frequency
ctrx_quarter	0.0496848368930697	0.0051436097568352	0.00168899632672827
ctrx_quarter_normalizado	0.0478003399269551	0.00507788223822256	0.00161419229360977
cdescubierto_preacordado_tend12	0.0425358573547618	0.00513842771520304	0.00112993460552684
vm_status05_delta1	0.0388517532541477	0.00148787494874962	0.000303153186848664
ctrx_quarter_lag1	0.0289568184940718	0.00231485570643551	0.00145277306424879
ctarjeta_visa_transacciones	0.021172392317324	0.00561601897426499	0.00143702484675016
vm_status01	0.0178352712234318	0.00283245754948484	0.00118899042114671
Visa_delinquency	0.014915498620927	0.00394131887240001	0.00249215541915849
ctrx_quarter_normalizado_lag1	0.0148004923956675	0.00278683739019985	0.00165356283735635
cdescubierto_preacordado	0.0126444022552183	0.00415476201396821	0.00332287389221133
Visa_Finiciomora_tend12	0.0116256353697895	0.00785066668864405	0.00236223262479478
ctarjeta_debito_transacciones	0.0114694530643415	0.00321523612278395	0.00071654389618775
vm_status04	0.0107990516865464	0.000454623829551926	0.000551187612452116
ctrx_quarter_lag2	0.010193363149952	0.002769978727917	0.00445280849773816
vmr_mpagospesos	0.00834973140907153	0.00259888818341128	0.00264570053977016
ctrx_quarter_delta2	0.00790775974456552	0.00462943204858018	0.00571266589762871
ctarjeta_debito_transacciones_lag1	0.00723524527919419	0.00201886705544626	0.000688984515565145
cpayroll_trx_lag1	0.00664635778199741	0.00261938244694593	0.000366146056843191
active_quarter	0.00662897838465898	0.00156314965481896	0.00168112221797895
thomebanking	0.00652847711024131	0.00315356598289847	0.01116548620653
ccomisiones_mantenimiento_tend12	0.00643111053026211	0.00644355121277501	0.00260239294164892
thomebanking_lag2	0.00594582744460938	0.00377478031880854	0.0133111808407186
cprestamos_personales_delta3	0.00555338288797452	0.00452767464553289	0.000629928699945275
Visa_cconsumos_tend12	0.00540738258768206	0.00499442225086642	0.0102009078847388
ctransferencias_recibidas_tend12	0.00523319368309171	0.00620537162163063	0.0110985562821608
ctrx_quarter_normalizado_lag2	0.00516825481568742	0.00294146617643437	0.00427564105087855
Visa_Fvencimiento_delta2	0.00506266764727208	0.000396163437892226	0.000385831328716481
cprestamos_personales_tend12	0.0049330481483253	0.00438971673113185	0.00131497616113576
cpayroll_trx	0.00481473316681717	0.00368940587305073	0.000275593806226058
cmobile_app_trx_tend12	0.00477943251227706	0.0071040342984238	0.00990562880663945
ctrx_quarter_delta1	0.00473004106444428	0.00286763177836479	0.00197246424170364
vmr_mpagominimo	0.00472497848382967	0.00285440863330175	0.00427957810525321
vmr_mpagominimo_tend12	0.00448370742310562	0.00360465855789981	0.00429532632275184
cliente_edad_lag3	0.00440919719182198	0.00512105750829074	0.00767725603058304
vm_cconsumos_lag1	0.00438019526955851	0.00139338702555049	0.000688984515565145
ctrx_quarter_normalizado_delta3	0.00426541616126064	0.00375864407938881	0.00638590219569522
ctrx_quarter_normalizado_delta1	0.00423167774107688	0.00327321303649285	0.00207876470981941
vm_cconsumos	0.00422125066421324	0.000567432193202518	0.000381894274341823
cpayroll_trx_tend12	0.0041589081635792	0.00594718708512445	0.00201183478545022
ccomisiones_mantenimiento_delta3	0.00405020879292806	0.00441980715175488	0.000917333669295307
cpayroll_trx_lag2	0.00403742764574356	0.00258026117331804	0.000555124666826774
cpayroll_trx_lag3	0.00395066216220866	0.00372513780112072	0.000811033201179542
Master_Fvencimiento_lag1	0.00390168707733762	0.0032787151348983	0.00792922751056115
internet_tend12	0.00390086205323626	0.00481698968738731	0.00406304011464702
ctrx_quarter_normalizado_tend12	0.00388778622292467	0.00452886275257674	0.00466147237959504
Master_Fvencimiento_lag3	0.00388520355990658	0.00340167409858841	0.00874026071174069
cmobile_app_trx_delta2	0.00386661218941258	0.0041515667402496	0.010094607416623
chomebanking_transacciones_lag3	0.00386101500152748	0.00381481146962106	0.00948436398855105
Master_fechaalta	0.00382136156220309	0.0034801775441092	0.00825600302365776
active_quarter_lag1	0.00380505738212267	0.00122403008163474	0.00114568282302547
Master_fechaalta_lag3	0.00380347189821914	0.00340187961978388	0.00836230349177352
Visa_Fvencimiento	0.00377038400731083	0.00471902586569914	0.00704732733063776
chomebanking_transacciones_lag2	0.00376775960186433	0.00381857465241431	0.00871270133111809
Master_Fvencimiento	0.00376752991179993	0.00375463838032442	0.00823238069740981
ctrx_quarter_delta3	0.00376209445058106	0.00305777957666029	0.00673630003503978
Master_Fvencimiento_lag2	0.0036933269770129	0.00354306942483532	0.0082520659692831
ccomisiones_otras_delta3	0.00362368652599892	0.00363217564643686	0.00680716701378363
Master_fechaalta_lag2	0.00355856092838798	0.0029309420542794	0.0077087524655803
cproductos_delta2	0.00350870478698414	0.0026644250334795	0.00050394295995622
Master_fultimo_cierre_tend12	0.003489200782476	0.0027126735868001	0.00711032020063229
Visa_Fvencimiento_lag3	0.00347406127013682	0.00313042521643823	0.00708669787438434
Master_fechaalta_lag1	0.00347271281200695	0.00343596998328121	0.00756701850809262
Master_Finiciomora_lag1	0.00340447427788773	0.003027731907303	0.000511817068705536
ccomisiones_otras_tend12	0.00337955272902766	0.0041173793828486	0.00584258869199243
Master_cconsumos_tend12	0.00336149055260477	0.00528558011386639	0.00746071803997685
foto_mes	0.00333384206947012	0.0022859055156403	0.00255514828915302
vmr_mconsumospesos	0.00323394204697863	0.00244543987831916	0.00215750579731257
cliente_antiguedad_lag3	0.00318006110112526	0.00347820615404652	0.00621267180321027
chomebanking_transacciones_delta3	0.00317118980182576	0.00413414029494005	0.00800403154367965
ctrx_quarter_tend12	0.00311312031825307	0.00317009189958027	0.00401973251652579
ctrx_quarter_lag3	0.00311069336290865	0.00289732649243175	0.00549219085264787
ctrx_quarter_normalizado_lag3	0.00309442030733415	0.00326319869429591	0.00523234526392044
vmr_Master_mlimitecompra_tend12	0.00309239396278505	0.00463570358573707	0.00599613381260409
Visa_Fvencimiento_lag2	0.00307908331999479	0.00247930795624262	0.00598825970385477
Visa_fechaalta	0.00306002742785191	0.00291158984826796	0.0055354984507691
cmobile_app_trx_lag1	0.0030590693544642	0.00433608229562304	0.00719693539687477
chomebanking_transacciones_delta2	0.00300345815621214	0.00357861847832629	0.00732685819123848
vm_Fvencimiento	0.00299359628518268	0.00440766911154603	0.00609062311759588
vmr_msaldopesos	0.00298172487391636	0.00180528942070691	0.00263388937664618
chomebanking_transacciones_lag1	0.00295753768931063	0.00374359643215011	0.0060788119544719
Visa_cconsumos	0.00293824299970812	0.00237757112002047	0.00571266589762871
vmr_mpagominimo_lag3	0.00291697685549117	0.00250743894035097	0.00566148419075816
vm_Fvencimiento_lag3	0.00291130821275151	0.00300608573349643	0.00637015397819659
Visa_Fvencimiento_lag1	0.00290722971782369	0.00277709033269779	0.00572841411512734
ctarjeta_visa_debitos_automaticos_tend12	0.0028610296360142	0.00391432824416743	0.00222837277605641
vm_fechaalta	0.002824921139102	0.00303499514777724	0.0048898215333252
cdescubierto_preacordado_lag1	0.00274607434841597	0.00344427744705528	0.00260239294164892
Visa_fechaalta_lag3	0.00273811116205605	0.00231274055867676	0.00567329535388213
vm_fultimo_cierre_tend12	0.00272507362566195	0.00204959521571265	0.00440556384524227
vm_Fvencimiento_lag1	0.00271884786785478	0.00260334612154088	0.00537014216703347
ctarjeta_visa_transacciones_tend12	0.00271848427812536	0.00406146087430937	0.00300790954223869
Visa_cconsumos_lag3	0.00270830374392847	0.00279096371716002	0.00598432264948011
Visa_fultimo_cierre_tend12	0.00270703093414619	0.00227699547960315	0.00487407331582657
Visa_fechaalta_lag1	0.0027065040014631	0.00249235129389361	0.00479926928270806
Master_cadelantosefectivo_tend12	0.0027024498266141	0.00174935019828659	0.00784261231431867
cliente_edad_lag2	0.00270069669772033	0.00351749769745764	0.0043465080296224
vmr_mpagospesos_delta3	0.00269216861634489	0.00366172542636015	0.00435831919274637
chomebanking_transacciones_delta1	0.00268210660711677	0.00402775224705275	0.00566542124513282
cprestamos_personales_lag3	0.00268021203565823	0.00319769720067991	0.00102363413741107
chomebanking_transacciones	0.00267960799409241	0.0045001126839228	0.00566935829950748
vm_fechaalta_lag3	0.00264867449321195	0.00241657460183164	0.00533470867766155
vmr_msaldopesos2_delta3	0.00262015337068078	0.00286190134408347	0.00513391890455399
Master_Fvencimiento_tend12	0.00260407161367881	0.00219182844576018	0.005582743103265
cliente_edad_lag1	0.00257157701860598	0.00341771670538336	0.00381106863466891
cmobile_app_trx	0.00257117060505019	0.00361502612849098	0.00584652574636708
vmr_Master_mlimitecompra_lag3	0.00255462806709771	0.00294033472794763	0.00551187612452116
vmr_msaldopesos2_lag3	0.00255023294459832	0.00272619027654927	0.00516935239392591
ccomisiones_otras_lag2	0.00254400564094773	0.00431759919028182	0.00507880014330878
vmr_msaldopesos2_tend12	0.00252411815486852	0.00316564144029618	0.00455123485710461
vm_Fvencimiento_lag2	0.00249155530652665	0.00256257616163071	0.00522447115517112
vm_fechaalta_lag1	0.00248937308097513	0.00216781007039257	0.00444493438898885
vmr_Master_mlimitecompra	0.00248262884231372	0.00394010858091556	0.00525596759016839
Visa_fechaalta_lag2	0.00246297077017023	0.00241221164083837	0.00480714339145738
vmr_Master_mlimitecompra_lag1	0.00245682349996352	0.00297362571630349	0.00508273719768344
numero_de_cliente	0.00244486395913744	0.00431866066114389	0.0043465080296224
ccomisiones_otras_delta2	0.00240664421861091	0.00238784577225862	0.00573628822387666
ccomisiones_otras_lag3	0.00240171562380323	0.00256374605474463	0.00509061130643275
vmr_mpagominimo_delta3	0.00239632290906155	0.00239949943117297	0.00405910306027237
vmr_mpagominimo_delta2	0.0023955427993658	0.00226048918438681	0.00280711976913113
ccuenta_debitos_automaticos_tend12	0.00239451072004658	0.00389089586575643	0.00127166856301452
ctarjeta_visa_transacciones_delta2	0.00236213947245744	0.00309407298535907	0.00187403788233719
vmr_msaldototal_delta3	0.00234436436383344	0.00236248427186684	0.00377957219967165
Visa_cconsumos_lag1	0.00232683023079034	0.00239504367787464	0.00486226215270259
Visa_cconsumos_lag2	0.00231775749291664	0.00199646768206683	0.00505124076268617
vmr_mpagospesos_tend12	0.0022675585507797	0.0048816802304577	0.00335437032720859
cpayroll_trx_delta3	0.00226284421129376	0.0038841925303115	0.000874026071174069
vm_fechaalta_lag2	0.00226128085390314	0.00213839768274347	0.00437800446461966
vmr_mpagominimo_lag1	0.00224611213696809	0.00221242495519674	0.00362996413343465
Visa_delinquency_tend12	0.00224459073550105	0.00361759700264178	0.00170868159860156
cproductos_delta3	0.00220051744744601	0.00177634662472524	0.00077559971180762
ccomisiones_otras_delta1	0.00217998339632139	0.00385088975647156	0.00483863982645464
cliente_antiguedad_lag2	0.00217265637933056	0.00291924522393945	0.00374413871029973
Master_fechaalta_tend12	0.00215492138765813	0.00183435450421582	0.00455123485710461
vmr_Visa_mlimitecompra_lag3	0.00213485398542277	0.00259158479666243	0.00446461966086214
Visa_fultimo_cierre_lag2	0.0021252234413882	0.00179326597909986	0.00227168037417765
vmr_msaldototal	0.00212176915062078	0.00179003064313861	0.00250396658228247
vmr_mconsumospesos_lag3	0.00211516005905713	0.00285034631769623	0.00440556384524227
tcallcenter	0.00210320389242939	0.00254153512306237	0.00232679913542286
vmr_mpagominimo_lag2	0.00210052834640941	0.00212375588892144	0.00373626460155041
Visa_cconsumos_delta2	0.00204411460177631	0.00195749663659685	0.0039528025921566
ccomisiones_otras_lag1	0.00203175475567418	0.00271539949993921	0.00344098552345106
Visa_Fvencimiento_tend12	0.00200611429875733	0.00288849641281594	0.00389768383091139
chomebanking_transacciones_tend12	0.00199331073898377	0.00421084642262812	0.0034567337409497
cproductos_tend12	0.00198314575173641	0.00404808674480067	0.00194490486108104
vmr_msaldopesos_delta3	0.00198277230498378	0.00209582569921014	0.00365752351405725
vmr_mpagospesos_lag3	0.00196748214797199	0.00281584953356641	0.00414178120214018
ccajas_transacciones	0.00196649056718838	0.00262232375503722	0.00342130025157777
vmr_msaldototal_tend12	0.00195791713861824	0.00294450870103591	0.00344098552345106
ctarjeta_visa_transacciones_delta3	0.00195548939758783	0.00312211716444037	0.00240554022291602
vmr_mpagospesos_delta2	0.00195373294853054	0.00290020933527853	0.00265751170289413
vmr_mpagominimo_delta1	0.0019489707783385	0.00282170561665383	0.00253940007165439
ctransferencias_recibidas_lag3	0.00194007854574092	0.00144670163537393	0.0041772146915121
vmr_Visa_mlimitecompra_lag1	0.00193819212963638	0.00169730150911305	0.00333862210970996
Master_status	0.00193706819041188	0.00166951976188025	0.00110237522490423
cliente_edad	0.00192580079923149	0.0026406627245385	0.00313389528222774
