Feature	Gain	Cover	Frequency
ctrx_quarter	0.0547896410889381	0.00475203428468663	0.00169208732744644
vm_status05_delta2	0.0466706726560274	0.0029287755765471	0.000602068281626293
ctrx_quarter_normalizado_lag1	0.0456823088105131	0.00206189774734463	0.00145991720577356
ctrx_quarter_normalizado	0.0342677787858857	0.0037042822263018	0.00163306102532622
vm_status01	0.0292802160594679	0.00278767975654186	0.00121987691048465
ctarjeta_visa_transacciones	0.0223061992171074	0.00476487935239365	0.00143237159811745
Visa_delinquency	0.0205625203258876	0.00400402821063471	0.002624702900946
cdescubierto_preacordado	0.0170125756287673	0.00461137189525799	0.00346287639105319
ctrx_quarter_lag1	0.0141877180697733	0.00142322708136053	0.00127496812579686
ctarjeta_debito_transacciones	0.0136643988891516	0.00367496704651206	0.000775212101178952
vmr_mpagospesos	0.0131245558682986	0.00279135514123816	0.00249878012308952
Visa_Finiciomora_tend12	0.0129809902149643	0.00809050932784351	0.00232563630353686
cpayroll_trx	0.0107786613331201	0.00390827885980664	0.000291196423793109
cdescubierto_preacordado_tend12	0.00970667829506126	0.00612602311957977	0.00113330500070832
cpayroll_trx_lag2	0.00895950206479948	0.00348446328444262	0.000594198108010263
ctrx_quarter_delta2	0.00793389403423743	0.00502445852845068	0.00552486187845304
ccomisiones_mantenimiento_tend12	0.00773587091583413	0.00663293655304449	0.00272701515795438
active_quarter	0.00698245180797665	0.00153176886948601	0.0016015803308621
Visa_status_tend12	0.00645258506148572	0.0031822270364842	0.0012080716500606
thomebanking_lag2	0.00576389168352771	0.00383655404182524	0.0130959688970739
Visa_cconsumos_tend12	0.00561068877882152	0.00519064976856898	0.010754592246305
ctrx_quarter_normalizado_delta1	0.00552232763074453	0.00286021847216299	0.00197934866443154
thomebanking	0.00541532866256554	0.0032677072741983	0.0113842061355874
ctransferencias_recibidas_tend12	0.00537790384441276	0.00603650353956622	0.0113094394862351
cprestamos_personales_tend12	0.00536126814251254	0.00478007480092469	0.0013654751223812
cmobile_app_trx_tend12	0.00471316872548206	0.00722754946622212	0.00977869071791724
cdescubierto_preacordado_lag1	0.00470283754066165	0.0037073530691333	0.00266011868221813
ctrx_quarter_delta3	0.00460636922253009	0.00299056732075057	0.00643780201791252
ctrx_quarter_delta1	0.00458493763919309	0.00286592399996155	0.00191245218869528
cliente_edad_lag3	0.00451323102049181	0.00522800917752727	0.00761832806031701
ctrx_quarter_normalizado_delta3	0.00449911752485458	0.00298284586922069	0.00623711259070375
ctrx_quarter_normalizado_lag3	0.00443340174523432	0.00296084165291247	0.00535958823251641
cpayroll_trx_lag1	0.00437414358210002	0.00217081273670532	0.000318742031449214
vmr_msaldopesos	0.00414128758721171	0.00212754275370471	0.00276243093922652
Master_Fvencimiento_lag3	0.00394017766690248	0.00340257975645728	0.0089011663597299
cpayroll_trx_tend12	0.00384605170502616	0.0053949886662882	0.0018652311469991
Master_fechaalta_lag3	0.00380676693852812	0.00351405656431604	0.00846830681084825
