envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	18000	-6000	-6000	114000	-6000	-6000	
3	63000	-9000	111000	111000	-9000	111000	
4	60000	-12000	108000	108000	-12000	108000	
5	105000	-15000	225000	105000	105000	105000	
6	150000	102000	222000	222000	102000	102000	
7	195000	219000	219000	219000	219000	99000	
8	216000	216000	216000	216000	216000	216000	
9	285000	333000	333000	213000	213000	333000	
10	282000	330000	330000	210000	210000	330000	
11	327000	327000	327000	327000	327000	327000	
12	324000	324000	324000	324000	324000	324000	
13	345000	321000	441000	321000	321000	321000	
14	366000	438000	438000	318000	318000	318000	
15	387000	435000	435000	315000	435000	315000	
16	432000	432000	552000	432000	432000	312000	
17	453000	429000	549000	549000	429000	309000	
18	474000	426000	546000	546000	546000	306000	
19	567000	543000	663000	543000	663000	423000	
20	588000	540000	660000	540000	660000	540000	
21	633000	657000	777000	537000	657000	537000	
22	630000	654000	774000	534000	654000	534000	
23	651000	651000	771000	531000	651000	651000	
24	672000	648000	768000	648000	648000	648000	
25	693000	645000	885000	645000	645000	645000	
26	714000	642000	882000	642000	642000	762000	
27	735000	639000	999000	639000	639000	759000	
28	732000	636000	996000	636000	636000	756000	
29	729000	633000	993000	633000	633000	753000	
30	774000	750000	990000	630000	630000	870000	
31	795000	747000	987000	627000	747000	867000	
32	816000	744000	984000	624000	864000	864000	
33	837000	741000	981000	621000	981000	861000	
34	834000	738000	978000	618000	978000	858000	
35	903000	855000	1095000	615000	975000	975000	
36	948000	852000	1092000	732000	972000	1092000	
37	993000	849000	1209000	849000	969000	1089000	
38	1038000	846000	1326000	846000	1086000	1086000	
39	1059000	843000	1323000	843000	1203000	1083000	
40	1056000	840000	1320000	840000	1200000	1080000	
41	1077000	837000	1317000	957000	1197000	1077000	
42	1074000	834000	1314000	954000	1194000	1074000	
43	1119000	951000	1311000	1071000	1191000	1071000	
44	1140000	1068000	1308000	1068000	1188000	1068000	
45	1161000	1065000	1305000	1065000	1305000	1065000	
46	1206000	1062000	1302000	1062000	1422000	1182000	
47	1251000	1059000	1419000	1059000	1419000	1299000	
48	1272000	1056000	1536000	1056000	1416000	1296000	
49	1269000	1053000	1533000	1053000	1413000	1293000	
50	1290000	1050000	1530000	1170000	1410000	1290000	
51	1311000	1047000	1527000	1287000	1407000	1287000	
52	1332000	1044000	1524000	1284000	1524000	1284000	
53	1377000	1161000	1521000	1401000	1521000	1281000	
54	1374000	1158000	1518000	1398000	1518000	1278000	
55	1395000	1155000	1515000	1395000	1635000	1275000	
56	1392000	1152000	1512000	1392000	1632000	1272000	
57	1389000	1149000	1509000	1389000	1629000	1269000	
58	1410000	1266000	1506000	1386000	1626000	1266000	
59	1431000	1383000	1503000	1383000	1623000	1263000	
60	1476000	1380000	1500000	1500000	1620000	1380000	
61	1473000	1377000	1497000	1497000	1617000	1377000	
62	1494000	1494000	1494000	1494000	1614000	1374000	
63	1491000	1491000	1491000	1491000	1611000	1371000	
64	1536000	1488000	1608000	1608000	1608000	1368000	
65	1533000	1485000	1605000	1605000	1605000	1365000	
66	1530000	1482000	1602000	1602000	1602000	1362000	
67	1527000	1479000	1599000	1599000	1599000	1359000	
68	1524000	1476000	1596000	1596000	1596000	1356000	
69	1521000	1473000	1593000	1593000	1593000	1353000	
70	1518000	1470000	1590000	1590000	1590000	1350000	
71	1539000	1467000	1587000	1587000	1587000	1467000	
72	1536000	1464000	1584000	1584000	1584000	1464000	
73	1557000	1461000	1581000	1701000	1581000	1461000	
74	1554000	1458000	1578000	1698000	1578000	1458000	
75	1551000	1455000	1575000	1695000	1575000	1455000	
76	1572000	1452000	1572000	1692000	1692000	1452000	
77	1569000	1449000	1569000	1689000	1689000	1449000	
78	1590000	1566000	1566000	1686000	1686000	1446000	
79	1611000	1683000	1563000	1683000	1683000	1443000	
80	1632000	1800000	1560000	1680000	1680000	1440000	
81	1677000	1917000	1557000	1677000	1797000	1437000	
82	1746000	1914000	1674000	1674000	1914000	1554000	
83	1791000	2031000	1791000	1671000	1911000	1551000	
84	1788000	2028000	1788000	1668000	1908000	1548000	
85	1809000	2025000	1785000	1665000	1905000	1665000	
86	1854000	2022000	1782000	1782000	2022000	1662000	
87	1851000	2019000	1779000	1779000	2019000	1659000	
88	1848000	2016000	1776000	1776000	2016000	1656000	
89	1893000	2013000	1893000	1773000	2013000	1773000	
90	1938000	2130000	1890000	1770000	2130000	1770000	
91	1935000	2127000	1887000	1767000	2127000	1767000	
92	1932000	2124000	1884000	1764000	2124000	1764000	
93	1953000	2121000	1881000	1881000	2121000	1761000	
94	1998000	2118000	1878000	1878000	2238000	1878000	
95	2019000	2235000	1875000	1875000	2235000	1875000	
96	2064000	2232000	1872000	1872000	2352000	1992000	
97	2061000	2229000	1869000	1869000	2349000	1989000	
98	2082000	2226000	1866000	1866000	2466000	1986000	
99	2103000	2223000	1863000	1983000	2463000	1983000	
100	2124000	2220000	1860000	1980000	2580000	1980000	
101	2121000	2217000	1857000	1977000	2577000	1977000	
102	2118000	2214000	1854000	1974000	2574000	1974000	
103	2115000	2211000	1851000	1971000	2571000	1971000	
104	2136000	2208000	1848000	2088000	2568000	1968000	
105	2157000	2205000	1845000	2085000	2565000	2085000	
106	2178000	2202000	1842000	2202000	2562000	2082000	
107	2199000	2199000	1959000	2199000	2559000	2079000	
108	2220000	2196000	1956000	2316000	2556000	2076000	
109	2241000	2313000	1953000	2313000	2553000	2073000	
110	2238000	2310000	1950000	2310000	2550000	2070000	
111	2235000	2307000	1947000	2307000	2547000	2067000	
112	2232000	2304000	1944000	2304000	2544000	2064000	
113	2253000	2301000	2061000	2301000	2541000	2061000	
114	2298000	2418000	2058000	2418000	2538000	2058000	
115	2295000	2415000	2055000	2415000	2535000	2055000	
116	2340000	2412000	2052000	2412000	2652000	2172000	
