Feature	Gain	Cover	Frequency
ctrx_quarter	0.0829635324637853	0.00402391404808265	0.00159537380987083
ctrx_quarter_normalizado	0.0732150957546427	0.00478801941230009	0.00166627931253176
vm_status05_delta2	0.0477615381418129	0.00318258074922269	0.000575122410471955
cdescubierto_preacordado_tend12	0.0251813177073652	0.00515911080522109	0.00115812321012846
Visa_delinquency	0.0205844544701083	0.00344914561834779	0.00235563836617965
cdescubierto_preacordado	0.0174716969738805	0.00440643085832804	0.00351376157630811
ctarjeta_visa_transacciones	0.0143497299047212	0.00556902468104774	0.00151265072343309
ctrx_quarter_lag2	0.0106019066428088	0.00251313592441363	0.00431341807853966
Visa_Finiciomora_tend12	0.0103944396039128	0.00728829800026575	0.00224140172300371
ctrx_quarter_lag1	0.00964261729678066	0.00179085500738656	0.00145750199914126
vm_status01	0.00961675707280607	0.00188245504815491	0.00108327851287526
vmr_mpagospesos	0.00897763397132376	0.00250623674609525	0.00247381420394786
ctrx_quarter_delta2	0.00797134900312613	0.00464272147478352	0.00563698746154361
vm_status06_tend12	0.00775899365484205	0.00239512592204574	0.000445128988926924
ccomisiones_mantenimiento_tend12	0.00681805600404047	0.00658227879199642	0.00267077393356154
cproductos_delta2	0.00662033177502289	0.0020602785966585	0.000393919459227366
cpayroll_trx	0.00657276380906877	0.00415633547194278	0.000315135567381893
thomebanking	0.00618570646476483	0.00340871465230321	0.0114079075392245
thomebanking_lag2	0.00582193026202025	0.00366190623868938	0.0132199370516704
ctransferencias_recibidas_tend12	0.00564316121777079	0.00618835634745109	0.0111282247231731
Visa_cconsumos_tend12	0.00560405115731514	0.00511576855927308	0.010651582177508
ctrx_quarter_normalizado_delta1	0.00553143206224906	0.00317275875960755	0.00191050937725273
cpayroll_trx_lag1	0.00541704553837599	0.00207552098873791	0.000311196372789619
ctarjeta_debito_transacciones	0.00538123053936229	0.00333694169341476	0.000665723886094249
active_quarter	0.0050461467954886	0.00155722902018031	0.00156779944772492
cmobile_app_trx_tend12	0.0049346481594013	0.00709005674110728	0.0100961557399974
ctrx_quarter_delta3	0.00491779821784276	0.00296137340415271	0.00634998168274515
cliente_edad_lag3	0.00489416309799188	0.00564829663871988	0.00813443683304512
ctrx_quarter_lag3	0.0046782966789885	0.00294349788525369	0.00548729806703721
ctrx_quarter_delta1	0.00441716335421861	0.00344045834290515	0.00189475259888363
Master_Fvencimiento	0.00438344553430724	0.00420400934374405	0.00856774823819522
cpayroll_trx_tend12	0.00430480231026992	0.0056871425813261	0.00193414454480637
cpayroll_trx_lag2	0.00427903220532385	0.00244552995567032	0.000539669659141492
active_quarter_lag2	0.00425510723958876	0.00271816593626516	0.00229655044729555
cdescubierto_preacordado_lag1	0.00421906239514995	0.0036701747490762	0.00264319957141563
cprestamos_personales_tend12	0.0042166465934757	0.00453457942048247	0.00128023824248894
vmr_msaldototal	0.00408004761623005	0.00198058087571176	0.00258017245793925
Master_Fvencimiento_lag3	0.00405744162979379	0.00334144284328418	0.00881591749750846
vmr_msaldopesos	0.00402925240319698	0.00214045514200135	0.00258411165253152
cpayroll_trx_lag3	0.00396237485142273	0.00280152980468452	0.00075238616712427
ccomisiones_mantenimiento_delta3	0.00396217915212322	0.00489523463086175	0.000886318783261574
ctrx_quarter_normalizado_lag3	0.00388361204109059	0.0027320180851806	0.00541639256437629
ctrx_quarter_tend12	0.00385318931579547	0.0036457712081367	0.00422281660291737
cmobile_app_trx_delta2	0.00381884946146548	0.00452865249320983	0.0100685813778515
Master_fechaalta	0.00377623259475264	0.00316762697621997	0.00813049763845284
cprestamos_personales_delta3	0.00376100099332311	0.00440469222920997	0.000579061605064229
Master_Fvencimiento_lag2	0.00373606191015472	0.00324302958739235	0.00800838260609236
ctrx_quarter_normalizado_delta3	0.00371911410702185	0.00335235511360512	0.00662178610961203
chomebanking_transacciones_lag3	0.00368575423492183	0.0034236828395476	0.008780464746178
foto_mes	0.00367917929271924	0.00265504716273412	0.0025722940687547
Master_fultimo_cierre_tend12	0.00363534396146358	0.00301981128848776	0.00746871294695087
cliente_antiguedad_lag3	0.00362908876013966	0.00383529987292369	0.00659421174746611
chomebanking_transacciones_lag2	0.00361101867318971	0.0039066626317405	0.00857562662737977
Master_fechaalta_lag2	0.00360730654767413	0.00286022000091942	0.00775233495759457
Master_fechaalta_lag3	0.00359025845401162	0.0035496400400543	0.00806353133038419
Visa_Fvencimiento	0.00356230170948713	0.00447417643631349	0.00705509751476213
Master_Fvencimiento_lag1	0.00352319382448079	0.00328285782923307	0.00799262582772326
Master_fechaalta_lag1	0.00351407145618653	0.00298543566180791	0.00733084113622129
cproductos_delta3	0.00347778389229269	0.00198975219810184	0.000783899723862459
ccomisiones_otras_tend12	0.00346689990970846	0.00420897009902068	0.00572364974257363
vmr_mpagominimo	0.003461741204262	0.00241696253722628	0.00433311405150103
Visa_Fvencimiento_lag3	0.00344534967714666	0.00320627128656445	0.00724417885519127
internet_tend12	0.00338367653764191	0.00458675314696043	0.00386434989502046
ctarjeta_debito_transacciones_lag1	0.00338194118887372	0.0016237504948047	0.000697237442832438
cprestamos_personales_delta2	0.00329089352174541	0.00310765529123	0.000437250599742377
chomebanking_transacciones_delta3	0.00321680501107066	0.00413992918207403	0.00790990274128552
Master_cconsumos_tend12	0.00320402391115422	0.00518303514574078	0.0074332601956204
cmobile_app_trx_lag1	0.00320320926160786	0.00426781450675124	0.0072993275794831
chomebanking_transacciones_lag1	0.00311204758011292	0.00345018488517219	0.00621604906660784
ccomisiones_otras_delta3	0.00311147293011514	0.00333113925087562	0.00681086745004117
vmr_mpagominimo_tend12	0.00306110295836591	0.00348066066565252	0.00414009351647962
vm_Fvencimiento_lag3	0.00305737523668986	0.00308923581227469	0.00649573188265927
Visa_fechaalta	0.00304930334246873	0.00284234907786557	0.00557396034806723
ctarjeta_visa_transacciones_delta2	0.00304926698182625	0.00277134928636618	0.0017647591773386
chomebanking_transacciones_delta2	0.00301544658101714	0.00399942930691508	0.00733871952540584
