envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
134	1014000	1038000	1038000	1038000	798000	1158000	
135	1011000	1035000	1035000	1035000	795000	1155000	
136	1032000	1032000	1152000	1032000	792000	1152000	
137	1077000	1029000	1269000	1029000	909000	1149000	
138	1098000	1026000	1266000	1026000	1026000	1146000	
139	1095000	1023000	1263000	1023000	1023000	1143000	
140	1092000	1020000	1260000	1020000	1020000	1140000	
141	1113000	1017000	1257000	1137000	1017000	1137000	
142	1110000	1014000	1254000	1134000	1014000	1134000	
143	1131000	1131000	1251000	1131000	1011000	1131000	
144	1128000	1128000	1248000	1128000	1008000	1128000	
145	1125000	1125000	1245000	1125000	1005000	1125000	
146	1146000	1242000	1242000	1122000	1002000	1122000	
147	1215000	1239000	1359000	1239000	999000	1239000	
148	1212000	1236000	1356000	1236000	996000	1236000	
149	1233000	1233000	1353000	1353000	993000	1233000	
150	1278000	1230000	1470000	1350000	990000	1350000	
151	1299000	1347000	1467000	1347000	987000	1347000	
152	1296000	1344000	1464000	1344000	984000	1344000	
153	1293000	1341000	1461000	1341000	981000	1341000	
154	1338000	1338000	1578000	1338000	978000	1458000	
155	1335000	1335000	1575000	1335000	975000	1455000	
156	1332000	1332000	1572000	1332000	972000	1452000	
157	1353000	1329000	1569000	1329000	1089000	1449000	
158	1398000	1326000	1566000	1326000	1206000	1566000	
159	1419000	1323000	1563000	1323000	1323000	1563000	
160	1416000	1320000	1560000	1320000	1320000	1560000	
161	1437000	1317000	1677000	1317000	1317000	1557000	
162	1458000	1434000	1674000	1314000	1314000	1554000	
163	1455000	1431000	1671000	1311000	1311000	1551000	
164	1476000	1428000	1668000	1308000	1308000	1668000	
165	1497000	1425000	1665000	1305000	1425000	1665000	
166	1494000	1422000	1662000	1302000	1422000	1662000	
167	1515000	1419000	1659000	1299000	1419000	1779000	
168	1536000	1416000	1776000	1296000	1416000	1776000	
169	1533000	1413000	1773000	1293000	1413000	1773000	
170	1530000	1410000	1770000	1290000	1410000	1770000	
171	1551000	1407000	1767000	1407000	1407000	1767000	
172	1572000	1404000	1884000	1404000	1404000	1764000	
173	1569000	1401000	1881000	1401000	1401000	1761000	
174	1566000	1398000	1878000	1398000	1398000	1758000	
175	1587000	1395000	1875000	1395000	1395000	1875000	
176	1632000	1392000	1992000	1512000	1392000	1872000	
177	1629000	1389000	1989000	1509000	1389000	1869000	
178	1650000	1386000	1986000	1506000	1506000	1866000	
179	1647000	1383000	1983000	1503000	1503000	1863000	
180	1692000	1380000	2100000	1620000	1500000	1860000	
181	1689000	1377000	2097000	1617000	1497000	1857000	
182	1710000	1374000	2094000	1734000	1494000	1854000	
183	1707000	1371000	2091000	1731000	1491000	1851000	
184	1704000	1368000	2088000	1728000	1488000	1848000	
185	1749000	1485000	2085000	1725000	1605000	1845000	
186	1794000	1602000	2082000	1842000	1602000	1842000	
187	1791000	1599000	2079000	1839000	1599000	1839000	
188	1788000	1596000	2076000	1836000	1596000	1836000	
189	1809000	1593000	2073000	1833000	1593000	1953000	
190	1830000	1590000	2070000	1950000	1590000	1950000	
191	1827000	1587000	2067000	1947000	1587000	1947000	
192	1824000	1584000	2064000	1944000	1584000	1944000	
193	1845000	1581000	2061000	2061000	1581000	1941000	
194	1866000	1698000	2058000	2058000	1578000	1938000	
195	1887000	1815000	2055000	2055000	1575000	1935000	
196	1884000	1812000	2052000	2052000	1572000	1932000	
197	1905000	1809000	2049000	2169000	1569000	1929000	
198	1926000	1806000	2166000	2166000	1566000	1926000	
199	1947000	1803000	2163000	2283000	1563000	1923000	
200	1968000	1800000	2160000	2280000	1560000	2040000	
201	1965000	1797000	2157000	2277000	1557000	2037000	
202	2010000	1794000	2154000	2274000	1674000	2154000	
