envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	21000	-3000	-3000	-3000	-3000	117000	
2	42000	-6000	-6000	-6000	114000	114000	
3	87000	-9000	-9000	111000	231000	111000	
4	84000	-12000	-12000	108000	228000	108000	
5	129000	-15000	105000	225000	225000	105000	
6	150000	102000	102000	222000	222000	102000	
7	147000	99000	99000	219000	219000	99000	
8	144000	96000	96000	216000	216000	96000	
9	141000	93000	93000	213000	213000	93000	
10	138000	90000	90000	210000	210000	90000	
11	183000	87000	207000	327000	207000	87000	
12	180000	84000	204000	324000	204000	84000	
13	177000	81000	201000	321000	201000	81000	
14	198000	198000	198000	318000	198000	78000	
15	243000	315000	315000	315000	195000	75000	
16	264000	312000	312000	312000	312000	72000	
17	261000	309000	309000	309000	309000	69000	
18	258000	306000	306000	306000	306000	66000	
19	279000	423000	303000	303000	303000	63000	
20	276000	420000	3e+05	3e+05	3e+05	60000	
21	273000	417000	297000	297000	297000	57000	
22	270000	414000	294000	294000	294000	54000	
23	291000	411000	291000	291000	411000	51000	
24	312000	528000	288000	288000	408000	48000	
25	333000	525000	285000	405000	405000	45000	
26	354000	522000	402000	402000	402000	42000	
27	375000	519000	399000	399000	399000	159000	
28	396000	516000	396000	396000	516000	156000	
29	393000	513000	393000	393000	513000	153000	
30	390000	510000	390000	390000	510000	150000	
31	387000	507000	387000	387000	507000	147000	
32	408000	504000	384000	384000	504000	264000	
33	405000	501000	381000	381000	501000	261000	
34	450000	498000	498000	378000	618000	258000	
35	471000	615000	495000	375000	615000	255000	
36	468000	612000	492000	372000	612000	252000	
37	465000	609000	489000	369000	609000	249000	
38	462000	606000	486000	366000	606000	246000	
39	507000	603000	483000	483000	723000	243000	
40	504000	6e+05	480000	480000	720000	240000	
41	501000	597000	477000	477000	717000	237000	
42	498000	594000	474000	474000	714000	234000	
43	543000	591000	471000	591000	831000	231000	
44	564000	588000	468000	708000	828000	228000	
45	561000	585000	465000	705000	825000	225000	
46	558000	582000	462000	702000	822000	222000	
47	579000	579000	459000	699000	819000	339000	
48	576000	576000	456000	696000	816000	336000	
49	597000	693000	453000	693000	813000	333000	
50	618000	690000	450000	810000	810000	330000	
51	615000	687000	447000	807000	807000	327000	
52	684000	684000	444000	924000	924000	444000	
53	705000	681000	441000	921000	921000	561000	
54	726000	678000	438000	1038000	918000	558000	
55	723000	675000	435000	1035000	915000	555000	
56	720000	672000	432000	1032000	912000	552000	
57	741000	669000	429000	1149000	909000	549000	
58	786000	786000	426000	1146000	1026000	546000	
59	783000	783000	423000	1143000	1023000	543000	
60	804000	9e+05	420000	1140000	1020000	540000	
61	825000	1017000	417000	1137000	1017000	537000	
62	846000	1014000	534000	1134000	1014000	534000	
63	867000	1011000	531000	1251000	1011000	531000	
64	864000	1008000	528000	1248000	1008000	528000	
65	861000	1005000	525000	1245000	1005000	525000	
66	858000	1002000	522000	1242000	1002000	522000	
67	879000	999000	639000	1239000	999000	519000	
68	9e+05	996000	636000	1236000	1116000	516000	
69	897000	993000	633000	1233000	1113000	513000	
70	918000	990000	750000	1230000	1110000	510000	
71	963000	1107000	747000	1227000	1227000	507000	
72	960000	1104000	744000	1224000	1224000	504000	
73	1005000	1101000	741000	1341000	1341000	501000	
74	1074000	1098000	738000	1458000	1458000	618000	
75	1119000	1215000	855000	1455000	1455000	615000	
76	1140000	1212000	852000	1572000	1452000	612000	
77	1161000	1209000	969000	1569000	1449000	609000	
78	1182000	1206000	1086000	1566000	1446000	606000	
79	1203000	1323000	1083000	1563000	1443000	603000	
80	1200000	1320000	1080000	1560000	1440000	6e+05	
81	1221000	1317000	1077000	1557000	1437000	717000	
82	1218000	1314000	1074000	1554000	1434000	714000	
83	1239000	1431000	1071000	1551000	1431000	711000	
84	1236000	1428000	1068000	1548000	1428000	708000	
85	1281000	1545000	1185000	1545000	1425000	705000	
86	1278000	1542000	1182000	1542000	1422000	702000	
87	1275000	1539000	1179000	1539000	1419000	699000	
88	1296000	1536000	1176000	1536000	1536000	696000	
89	1317000	1533000	1293000	1533000	1533000	693000	
90	1314000	1530000	1290000	1530000	1530000	690000	
91	1335000	1527000	1407000	1527000	1527000	687000	
92	1332000	1524000	1404000	1524000	1524000	684000	
93	1353000	1521000	1521000	1521000	1521000	681000	
94	1350000	1518000	1518000	1518000	1518000	678000	
95	1347000	1515000	1515000	1515000	1515000	675000	
96	1368000	1512000	1632000	1512000	1512000	672000	
97	1365000	1509000	1629000	1509000	1509000	669000	
98	1362000	1506000	1626000	1506000	1506000	666000	
99	1359000	1503000	1623000	1503000	1503000	663000	
100	1380000	1500000	1620000	1620000	1500000	660000	
101	1377000	1497000	1617000	1617000	1497000	657000	
102	1398000	1614000	1614000	1614000	1494000	654000	
103	1419000	1731000	1611000	1611000	1491000	651000	
104	1440000	1728000	1728000	1608000	1488000	648000	
105	1437000	1725000	1725000	1605000	1485000	645000	
106	1434000	1722000	1722000	1602000	1482000	642000	
107	1431000	1719000	1719000	1599000	1479000	639000	
108	1452000	1716000	1716000	1716000	1476000	636000	
109	1497000	1833000	1713000	1713000	1473000	753000	
110	1518000	1830000	1830000	1710000	1470000	750000	
111	1515000	1827000	1827000	1707000	1467000	747000	
112	1560000	1944000	1824000	1704000	1464000	864000	
113	1557000	1941000	1821000	1701000	1461000	861000	
114	1554000	1938000	1818000	1698000	1458000	858000	
115	1551000	1935000	1815000	1695000	1455000	855000	
116	1548000	1932000	1812000	1692000	1452000	852000	
117	1545000	1929000	1809000	1689000	1449000	849000	
