envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	42000	-6000	114000	-6000	-6000	114000	
3	63000	-9000	111000	-9000	111000	111000	
4	60000	-12000	108000	-12000	108000	108000	
5	81000	105000	105000	-15000	105000	105000	
6	78000	102000	102000	-18000	102000	102000	
7	75000	99000	99000	-21000	99000	99000	
8	72000	96000	96000	-24000	96000	96000	
9	117000	93000	93000	93000	93000	213000	
10	162000	210000	90000	90000	210000	210000	
11	159000	207000	87000	87000	207000	207000	
12	156000	204000	84000	84000	204000	204000	
13	153000	201000	81000	81000	201000	201000	
14	174000	198000	78000	198000	198000	198000	
15	195000	195000	195000	195000	195000	195000	
16	192000	192000	192000	192000	192000	192000	
17	189000	189000	189000	189000	189000	189000	
18	186000	186000	186000	186000	186000	186000	
19	183000	183000	183000	183000	183000	183000	
20	180000	180000	180000	180000	180000	180000	
21	177000	177000	177000	177000	177000	177000	
22	174000	174000	174000	174000	174000	174000	
23	171000	171000	171000	171000	171000	171000	
24	168000	168000	168000	168000	168000	168000	
25	165000	165000	165000	165000	165000	165000	
26	210000	162000	282000	162000	162000	282000	
27	231000	279000	279000	159000	159000	279000	
28	252000	276000	276000	156000	156000	396000	
29	249000	273000	273000	153000	153000	393000	
30	246000	270000	270000	150000	150000	390000	
31	315000	387000	387000	267000	147000	387000	
32	336000	384000	384000	384000	144000	384000	
33	333000	381000	381000	381000	141000	381000	
34	378000	498000	378000	378000	258000	378000	
35	399000	495000	375000	375000	375000	375000	
36	420000	492000	372000	492000	372000	372000	
37	441000	489000	369000	489000	369000	489000	
38	510000	606000	486000	486000	486000	486000	
39	579000	603000	483000	603000	603000	603000	
40	576000	6e+05	480000	6e+05	6e+05	6e+05	
41	573000	597000	477000	597000	597000	597000	
42	594000	594000	594000	594000	594000	594000	
43	615000	591000	591000	591000	711000	591000	
44	612000	588000	588000	588000	708000	588000	
45	609000	585000	585000	585000	705000	585000	
46	630000	582000	582000	582000	822000	582000	
47	627000	579000	579000	579000	819000	579000	
48	648000	576000	576000	576000	816000	696000	
49	669000	693000	573000	573000	813000	693000	
50	690000	690000	570000	570000	930000	690000	
51	711000	687000	567000	567000	1047000	687000	
52	708000	684000	564000	564000	1044000	684000	
53	705000	681000	561000	561000	1041000	681000	
54	702000	678000	558000	558000	1038000	678000	
55	723000	795000	555000	555000	1035000	675000	
56	744000	792000	552000	552000	1032000	792000	
57	765000	789000	549000	549000	1029000	909000	
58	786000	786000	546000	666000	1026000	906000	
59	783000	783000	543000	663000	1023000	903000	
60	828000	9e+05	540000	780000	1020000	9e+05	
61	849000	897000	537000	777000	1017000	1017000	
62	918000	894000	654000	894000	1014000	1134000	
63	915000	891000	651000	891000	1011000	1131000	
64	936000	888000	648000	888000	1128000	1128000	
65	1005000	1005000	765000	885000	1245000	1125000	
66	1002000	1002000	762000	882000	1242000	1122000	
67	1023000	999000	759000	999000	1239000	1119000	
68	1044000	996000	756000	996000	1356000	1116000	
69	1089000	993000	753000	1113000	1353000	1233000	
70	1134000	990000	870000	1110000	1350000	1350000	
71	1203000	1107000	987000	1107000	1467000	1347000	
72	1248000	1104000	984000	1224000	1464000	1464000	
73	1269000	1101000	1101000	1221000	1461000	1461000	
74	1290000	1098000	1098000	1218000	1578000	1458000	
75	1287000	1095000	1095000	1215000	1575000	1455000	
76	1284000	1092000	1092000	1212000	1572000	1452000	
77	1281000	1089000	1089000	1209000	1569000	1449000	
78	1278000	1086000	1086000	1206000	1566000	1446000	
79	1299000	1203000	1083000	1203000	1563000	1443000	
80	1320000	1200000	1080000	1320000	1560000	1440000	
81	1389000	1317000	1197000	1317000	1677000	1437000	
82	1410000	1434000	1194000	1314000	1674000	1434000	
83	1431000	1431000	1311000	1311000	1671000	1431000	
