envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	-15000	-15000	-15000	-15000	-15000	-15000	
6	-18000	-18000	-18000	-18000	-18000	-18000	
7	-21000	-21000	-21000	-21000	-21000	-21000	
8	-24000	-24000	-24000	-24000	-24000	-24000	
9	-3000	-27000	93000	-27000	-27000	-27000	
10	-6000	-30000	90000	-30000	-30000	-30000	
11	39000	-33000	87000	87000	87000	-33000	
12	36000	-36000	84000	84000	84000	-36000	
13	57000	-39000	81000	201000	81000	-39000	
14	54000	-42000	78000	198000	78000	-42000	
15	51000	-45000	75000	195000	75000	-45000	
16	48000	-48000	72000	192000	72000	-48000	
17	45000	-51000	69000	189000	69000	-51000	
18	114000	-54000	186000	186000	186000	66000	
19	135000	-57000	183000	183000	183000	183000	
20	180000	60000	180000	180000	180000	3e+05	
21	177000	57000	177000	177000	177000	297000	
22	198000	174000	174000	174000	174000	294000	
23	219000	171000	171000	291000	171000	291000	
24	216000	168000	168000	288000	168000	288000	
25	213000	165000	165000	285000	165000	285000	
26	258000	282000	162000	402000	162000	282000	
27	279000	279000	159000	399000	279000	279000	
28	3e+05	276000	276000	396000	276000	276000	
29	321000	273000	273000	393000	273000	393000	
30	318000	270000	270000	390000	270000	390000	
31	315000	267000	267000	387000	267000	387000	
32	312000	264000	264000	384000	264000	384000	
33	309000	261000	261000	381000	261000	381000	
34	306000	258000	258000	378000	258000	378000	
35	303000	255000	255000	375000	255000	375000	
36	3e+05	252000	252000	372000	252000	372000	
37	297000	249000	249000	369000	249000	369000	
38	294000	246000	246000	366000	246000	366000	
39	291000	243000	243000	363000	243000	363000	
40	312000	240000	240000	360000	360000	360000	
41	309000	237000	237000	357000	357000	357000	
42	306000	234000	234000	354000	354000	354000	
43	327000	231000	351000	351000	351000	351000	
44	324000	228000	348000	348000	348000	348000	
45	321000	225000	345000	345000	345000	345000	
46	342000	222000	342000	462000	342000	342000	
47	339000	219000	339000	459000	339000	339000	
48	336000	216000	336000	456000	336000	336000	
49	333000	213000	333000	453000	333000	333000	
50	330000	210000	330000	450000	330000	330000	
51	327000	207000	327000	447000	327000	327000	
52	324000	204000	324000	444000	324000	324000	
53	321000	201000	321000	441000	321000	321000	
54	342000	198000	438000	438000	318000	318000	
55	339000	195000	435000	435000	315000	315000	
56	360000	312000	432000	432000	312000	312000	
57	357000	309000	429000	429000	309000	309000	
58	378000	306000	426000	426000	306000	426000	
59	423000	303000	423000	423000	423000	543000	
60	444000	3e+05	420000	540000	420000	540000	
61	441000	297000	417000	537000	417000	537000	
62	438000	294000	414000	534000	414000	534000	
63	435000	291000	411000	531000	411000	531000	
64	480000	288000	528000	528000	408000	648000	
65	477000	285000	525000	525000	405000	645000	
66	498000	282000	642000	522000	402000	642000	
67	495000	279000	639000	519000	399000	639000	
68	564000	396000	756000	636000	396000	636000	
69	609000	513000	753000	633000	393000	753000	
70	606000	510000	750000	630000	390000	750000	
71	651000	627000	747000	627000	507000	747000	
72	648000	624000	744000	624000	504000	744000	
73	669000	741000	741000	621000	501000	741000	
74	666000	738000	738000	618000	498000	738000	
75	687000	735000	735000	615000	615000	735000	
76	684000	732000	732000	612000	612000	732000	
77	705000	729000	729000	609000	729000	729000	
